Scanning 944 books for non-RAG-worthy content...
================================================================================

================================================================================
AUTOBIOGRAPHICAL (9 books)
================================================================================
  359 diagrams | Keyword: immortal_games        | unknown_author_0000_the_immortal_games_of_capablanca_fred_reinfeld.epub
  356 diagrams | Keyword: art_of                | chernev_0000_combinations_the_heart_of_chess.epub
  345 diagrams | Keyword: art_of                | vladimir_0000_art_of_attack_in_chess.epub
  342 diagrams | Keyword: art_of                | unknown_author_0000_renaud_kahn_the_art_of_checkmate.epub
  320 diagrams | Keyword: art_of                | soltis_2014_the_new_art_of_defence_in_chess_batsford.epub
  296 diagrams | Keyword: thinking              | kalinin_2017_chess_training_for_candidate_masters_accelerate_your_progress_by_thinking_for_yourself_new_in_chess.epub
  296 diagrams | Keyword: thinking              | unknown_author_2017_alexander_kalinin_chess_training_for_candidate_masters_accelerate_your_progress_by_thinking_for_yourself_new_in_chess.epub
  200 diagrams | Keyword: art_of                | eugene_2010_the_art_of_chess_combination.epub
  200 diagrams | Keyword: art_of                | unknown_author_0000_the_art_of_chess_combination.epub
  200 diagrams | Keyword: art_of                | znoskoborovsky_1959_the_art_of_chess_combination_dover.epub
  107 diagrams | Keyword: philosophy            | unknown_author_0000_attacking_the_strongpoint_the_philosophy_of_chess_igor_zaitsev.epub
   96 diagrams | Keyword: thinking              | unknown_author_0000_thinking_with_chess_teaching_children_ages_514.epub
   23 diagrams | Keyword: psychology            | igor_2015_champion_psychology_remote_chess_academy.epub
   23 diagrams | Keyword: art_of                | tommy_0000_chess_openings_for_beginners_the_complete_manual_to_learn_the_fundamentals_the_strategy_and_the_best_moves_at_the_start_of_the_game.epub
   20 diagrams | Keyword: wisdom                | henebry_0000_chess_words_of_wisdom_the_principles_methods_and_essential_knowledge_of_chess_russell_enterprises_inc.epub

================================================================================
HISTORICAL (31 books)
================================================================================
 1157 diagrams | Keyword: chess_evolution       | sakelsek_2020_the_power_of_tactics3_chess_evolution_with_mikhalchishin_adrian.epub
  650 diagrams | Keyword: chess_evolution       | sakelsek_2019_the_power_of_tactics1_chess_evolution_with_mikhalchishin_adrian.epub
  646 diagrams | Keyword: chess_evolution       | mikhalchishin_2018_mem7_mastering_typical_rook_endgames_chess_evolution.epub
  639 diagrams | Keyword: chess_evolution       | sakelsek_2019_the_power_of_tactics2_chess_evolution_with_mikhalchishin_adrian.epub
  636 diagrams | Keyword: chess_in_the_         | grivas_2012_chess_analytics_chess_in_the_digital_age_russell_enterprises_inc.epub
  627 diagrams | Keyword: chess_evolution       | grivas_2017_mem5_mastering_rook_vs_pieces_endgames_chess_evolution.epub
  614 diagrams | Keyword: chess_evolution       | mikhalchishin_2019_mem8_mastering_essential_rook_endgames_chess_evolution.epub
  572 diagrams | Keyword: chess_evolution       | grivas_2016_mem4_mastering_queen_vs_pieces_endgames_chess_evolution.epub
  562 diagrams | Keyword: chess_evolution       | balogh_2016_mem2_minor_piece_endgames1_chess_evolution_with_mikhalchishin_adrian.epub
  531 diagrams | Keyword: chess_evolution       | sakelsek_2020_defensive_tools_chess_evolution_with_tratar_marko.epub
  519 diagrams | Keyword: chess_evolution       | efstratios_2020_grivas_opening_laboratory_volume_2_chess_evolution.epub
  515 diagrams | Keyword: chess_evolution       | efstratios_2020_grivas_opening_laboratory_volume_3_efstratios_grivas_chess_evolution.epub
